联想笔记本电脑 小新Pro16 英特尔酷睿i5 16英寸全面屏高性能游戏轻薄本(11代i5 16G 512G 2.5K护眼屏 MX450),5599.00,20万+条评价,联想京东自营旗舰店
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i3-1115G4 8G 256GSSD UMA FHD IPS)银,2999.00,2万+条评价,惠普京东自营官方旗舰店
戴尔笔记本电脑dell灵越3511 15.6英寸高性能商务全面屏办公轻薄本(11代i5-1135G7 16G 512G 锐炬显卡)银,4199.00,2万+条评价,戴尔京东自营官方旗舰店
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i5-1135G7 16G 512GSSD UMA FHD IPS)银,3899.00,2万+条评价,惠普京东自营官方旗舰店
荣耀笔记本MagicBook X 14 2021 14英寸全面屏轻薄笔记本电脑 （i3 8GB 256GB多屏协同）冰河银,3199.00,10万+条评价,荣耀京东自营旗舰店
联想ThinkPad E14 酷睿i5 14英寸轻薄笔记本电脑(i5-1135G7 16G 512G 100%sRGB)银,4999.00,5万+条评价,ThinkPad京东自营旗舰店
华为笔记本电脑MateBook 14 2021款 14.0英寸 11代酷睿i7 16G 512G 锐炬显卡/2K触控轻薄本 /多屏协同 深空灰,6499.00,10万+条评价,华为京东自营官方旗舰店
联想笔记本ThinkPad P15v(02CD) 15.6英寸高性能本设计师工作站(i7-10750H 16G 512G P620 4G独显),7999.00,2万+条评价,ThinkPad京东自营旗舰店
联想ThinkBook 15 2021款 酷睿版(0ECD)酷睿i5 15.6英寸轻薄笔记本(i5-1155G7 16G 512G 高色域 Win11),4499.00,2万+条评价,ThinkPad京东自营旗舰店
荣耀MagicBook 16 Pro 2021 16.1英寸高性能标压轻薄游戏笔记本电脑(R7-5800H 16+512G 144Hz RTX3050)星空灰,7299.00,10万+条评价,荣耀京东自营旗舰店
华硕（ASUS）VivoBook15 11代英特尔酷睿 15.6英寸轻薄办公笔记本电脑 i5-1135G7 16G 512G固态 锐炬显卡 银色,3999.00,5万+条评价,华硕电脑官方旗舰店
联想笔记本电脑 V14全新性能本 14英寸超轻薄商用办公手提学生上网课游戏本 酷睿i3-10110U 8G内存 256G固态 防眩光屏丨标配 高清屏 W10 深空灰,3299.00,5000+条评价,联想电脑办公京东自营旗舰店
